iter	Passed	Remaining
0	3	3902
1	4	2138
2	4	1539
3	4	1242
4	5	1055
5	5	928
6	5	843
7	6	774
8	6	738
9	7	695
10	7	662
11	7	632
12	8	660
13	9	636
14	9	613
15	9	590
16	9	571
17	10	556
18	10	541
19	10	527
20	11	515
21	11	503
22	11	492
23	11	483
24	12	474
25	12	466
26	12	459
27	13	452
28	13	445
29	13	439
30	13	433
31	14	428
32	14	423
33	14	418
34	15	413
35	15	409
36	15	405
37	15	401
38	16	397
39	16	393
40	16	391
41	17	387
42	17	384
43	17	381
44	17	378
45	18	376
46	18	373
47	18	371
48	19	369
49	19	368
50	19	365
51	19	364
52	20	362
53	20	360
54	20	358
55	21	356
56	21	354
57	21	352
58	22	351
59	22	349
60	22	348
61	22	346
62	23	344
63	23	343
64	23	342
65	24	340
66	24	339
67	24	338
68	24	336
69	25	335
70	25	334
71	25	332
72	26	331
73	26	330
74	26	329
75	27	328
76	27	327
77	27	326
78	27	325
79	28	324
80	28	323
81	28	322
82	28	319
83	29	318
84	29	317
85	29	316
86	30	315
87	30	314
88	30	313
89	30	313
90	31	312
91	31	311
92	31	310
93	32	309
94	32	308
95	32	307
96	32	306
97	33	305
98	33	305
99	33	304
100	34	303
101	34	302
102	34	301
103	34	301
104	35	300
105	35	299
106	35	299
107	36	298
108	36	297
109	36	297
110	36	296
111	37	295
112	37	294
113	37	293
114	38	293
115	38	292
116	38	291
117	38	290
118	39	289
119	39	289
120	39	288
121	39	287
122	40	286
123	40	286
124	40	285
125	41	284
126	41	283
127	41	283
128	41	282
129	42	282
130	42	281
131	42	281
132	43	280
133	43	279
134	43	279
135	43	278
136	44	278
137	44	277
138	44	277
139	45	276
140	45	276
141	45	274
142	45	274
143	46	273
144	46	272
145	46	272
146	46	272
147	47	271
148	47	270
149	47	270
150	47	269
151	48	269
152	48	268
153	48	268
154	49	267
155	49	267
156	49	266
157	49	266
158	50	265
159	50	265
160	50	264
161	50	263
162	51	263
163	51	263
164	51	262
165	52	262
166	52	261
167	52	261
168	53	261
169	53	260
170	53	260
171	53	259
172	54	259
173	54	258
174	54	258
175	55	257
176	55	257
177	55	257
178	56	256
179	56	256
180	56	256
181	56	255
182	57	255
183	57	254
184	57	254
185	58	253
186	58	253
187	58	252
188	58	252
189	59	252
190	59	251
191	59	251
192	59	250
193	60	250
194	60	250
195	60	249
196	61	249
197	61	248
198	61	248
199	62	248
200	62	247
201	62	247
202	62	247
203	63	246
204	63	246
205	63	246
206	64	245
207	64	245
208	64	244
209	65	244
210	65	244
211	65	243
212	65	243
213	66	243
214	66	242
215	66	242
216	67	241
217	67	241
218	67	241
219	67	240
220	68	240
221	68	239
222	68	239
223	69	239
224	69	238
225	69	238
226	69	238
227	70	237
228	70	237
229	70	236
230	71	236
231	71	235
232	71	235
233	71	235
234	72	234
235	72	234
236	72	233
237	72	233
238	73	233
239	73	232
240	73	232
241	74	232
242	74	231
243	74	231
244	74	230
245	75	230
246	75	230
247	75	229
248	76	229
249	76	229
250	76	228
251	76	228
252	77	227
253	77	227
254	77	227
255	78	226
256	78	226
257	78	226
258	78	225
259	79	225
260	79	225
261	79	224
262	80	224
263	80	224
264	80	223
265	80	223
266	81	223
267	81	222
268	81	222
269	82	221
270	82	221
271	82	221
272	82	221
273	83	220
274	83	220
275	83	220
276	84	219
277	84	219
278	84	219
279	85	218
280	85	218
281	85	218
282	85	217
283	86	217
284	86	217
285	86	216
286	87	216
287	87	216
288	87	215
289	87	215
290	88	214
291	88	214
292	88	214
293	89	213
294	89	213
295	89	213
296	89	212
297	90	212
298	90	212
299	90	211
300	91	211
301	91	211
302	91	210
303	91	210
304	92	210
305	92	209
306	92	209
307	93	209
308	93	208
309	93	208
310	93	208
311	94	207
312	94	207
313	94	207
314	95	206
315	95	206
316	95	206
317	95	205
318	96	205
319	96	205
320	96	204
321	97	204
322	97	204
323	97	203
324	97	203
325	98	203
326	98	202
327	98	202
328	99	202
329	99	201
330	99	201
331	100	201
332	100	200
333	100	200
334	100	200
335	101	199
336	101	199
337	101	199
338	102	198
339	102	198
340	102	198
341	102	197
342	103	197
343	103	197
344	103	196
345	103	196
346	104	196
347	104	195
348	104	195
349	105	195
350	105	194
351	105	194
352	105	194
353	106	193
354	106	193
355	106	193
356	107	192
357	107	192
358	107	192
359	108	192
360	108	191
361	108	191
362	108	191
363	109	190
364	109	190
365	109	190
366	110	189
367	110	189
368	110	189
369	110	188
370	111	188
371	111	188
372	111	187
373	112	187
374	112	187
375	112	186
376	112	186
377	113	186
378	113	186
379	113	185
380	114	185
381	114	185
382	114	184
383	115	184
384	115	184
385	115	183
386	115	183
387	116	183
388	116	182
389	116	182
390	117	182
391	117	181
392	117	181
393	117	181
394	118	181
395	118	180
396	118	180
397	119	180
398	119	179
399	119	179
400	119	179
401	120	178
402	120	178
403	120	178
404	121	177
405	121	177
406	121	177
407	121	176
408	122	176
409	122	176
410	122	175
411	123	175
412	123	175
413	123	175
414	123	174
415	124	174
416	124	174
417	124	173
418	125	173
419	125	173
420	125	172
421	125	172
422	126	172
423	126	171
424	126	171
425	127	171
426	127	170
427	127	170
428	127	170
429	128	170
430	128	169
431	128	169
432	129	169
433	129	168
434	129	168
435	130	168
436	130	167
437	130	167
438	130	167
439	131	166
440	131	166
441	131	166
442	132	165
443	132	165
444	132	165
445	132	165
446	133	164
447	133	164
448	133	164
449	134	163
450	134	163
451	134	163
452	134	162
453	135	162
454	135	162
455	135	161
456	136	161
457	136	161
458	136	160
459	136	160
460	137	160
461	137	160
462	137	159
463	137	159
464	138	159
465	138	158
466	138	158
467	139	158
468	139	157
469	139	157
470	139	157
471	140	156
472	140	156
473	140	156
474	141	155
475	141	155
476	141	155
477	141	154
478	142	154
479	142	154
480	142	154
481	143	153
482	143	153
483	143	153
484	143	152
485	144	152
486	144	152
487	144	151
488	145	151
489	145	151
490	145	150
491	145	150
492	146	150
493	146	150
494	146	149
495	147	149
496	147	149
497	147	148
498	147	148
499	148	148
500	148	147
501	148	147
502	149	147
503	149	146
504	149	146
505	149	146
506	150	145
507	150	145
508	150	145
509	150	145
510	151	144
511	151	144
512	151	144
513	152	143
514	152	143
515	152	143
516	152	142
517	153	142
518	153	142
519	153	141
520	154	141
521	154	141
522	154	141
523	154	140
524	155	140
525	155	140
526	155	139
527	156	139
528	156	139
529	156	138
530	156	138
531	157	138
532	157	137
533	157	137
534	157	137
535	158	136
536	158	136
537	158	136
538	159	136
539	159	135
540	159	135
541	159	135
542	160	134
543	160	134
544	160	134
545	161	134
546	161	133
547	161	133
548	162	133
549	162	132
550	162	132
551	162	132
552	163	131
553	163	131
554	163	131
555	164	131
556	164	130
557	164	130
558	164	130
559	165	129
560	165	129
561	165	129
562	166	128
563	166	128
564	166	128
565	166	128
566	167	127
567	167	127
568	167	127
569	168	126
570	168	126
571	168	126
572	168	125
573	169	125
574	169	125
575	169	125
576	170	124
577	170	124
578	170	124
579	171	123
580	171	123
581	171	123
582	171	122
583	172	122
584	172	122
585	172	122
586	172	121
587	173	121
588	173	121
589	173	120
590	174	120
591	174	120
592	174	119
593	174	119
594	175	119
595	175	118
596	175	118
597	176	118
598	176	118
599	176	117
600	176	117
601	177	117
602	177	116
603	177	116
604	178	116
605	178	115
606	178	115
607	178	115
608	179	115
609	179	114
610	179	114
611	180	114
612	180	113
613	180	113
614	180	113
615	181	112
616	181	112
617	181	112
618	182	112
619	182	111
620	182	111
621	182	111
622	183	110
623	183	110
624	183	110
625	184	109
626	184	109
627	184	109
628	185	109
629	185	108
630	185	108
631	186	108
632	186	108
633	186	107
634	186	107
635	187	107
636	187	106
637	187	106
638	188	106
639	188	106
640	189	105
641	189	105
642	189	105
643	190	105
644	190	104
645	190	104
646	190	104
647	191	103
648	191	103
649	192	103
650	192	103
651	192	102
652	192	102
653	193	102
654	193	101
655	193	101
656	194	101
657	194	101
658	194	100
659	195	100
660	195	100
661	195	99
662	195	99
663	196	99
664	196	99
665	196	98
666	197	98
667	197	98
668	197	97
669	198	97
670	198	97
671	199	97
672	199	96
673	200	96
